,MAE,sMAPE,rMAE
2019-12-10,8.644971189498902,24.281965111004343,0.9443325681488036
2019-12-11,8.169666875203452,37.272415189392255,0.7527623334928509
2019-12-12,4.496132405598958,9.84649731033581,0.8116983431200165
2019-12-13,3.2581881014506027,11.968948529040846,1.2946442787220938
2019-12-14,9.773020311991374,32.19981229110668,0.8988407261459781
2019-12-15,7.765209005673726,52.21721396741118,0.29609007679477833
2019-12-16,3.745039370854696,9.130492761170807,0.22540675837119176
2019-12-17,5.309878749847411,13.122266866956931,0.9105250785677184
2019-12-18,5.544756619135538,16.054607816319084,0.6756405303577018
2019-12-19,4.273380641937256,12.138905826759643,0.4380333792025888
2019-12-20,4.935348176956176,14.823442676969009,1.8444153884607324
2019-12-21,4.345370620091757,14.85586188023438,0.7147480973353585
2019-12-22,5.0884577051798505,16.535270357613527,0.4431167812928752
2019-12-23,4.517052869796753,14.302340972524322,0.7152422568788155
2019-12-24,6.353470293680826,22.135459996794612,1.1421113553167541
2019-12-25,3.7122299194335935,11.450815434651851,0.5484365531942521
2019-12-26,3.2962050914764407,9.430413820428287,1.0377662625663726
2019-12-27,3.434403708775838,8.91821135081882,0.614612549478936
2019-12-28,1.9193497625986733,5.4537701956795255,0.627067714434633
2019-12-29,4.757478869756063,16.177299123162747,0.7308890850988701
2019-12-30,4.551041456858317,27.820886109525773,0.5026460881941998
2019-12-31,4.957943277359009,22.086546956534576,0.8916495965276597
2020-01-01,3.6683702437082926,11.634152071670238,0.9188153396889901
2020-01-02,2.467122643788656,7.9438226009775255,0.44003376524173415
2020-01-03,5.219469699859618,35.076600866776445,0.3388624253973297
2020-01-04,6.699502889315288,45.98389724227563,0.44817724758492283
2020-01-05,2.595188522338867,8.47068626112971,0.7729526499892381
2020-01-06,7.162953526178995,20.856803431638195,1.1137009887813933
2020-01-07,4.764789193471272,13.802243894003732,0.5082441806369357
2020-01-08,7.4438499895731605,41.77432768831038,0.8769937644188105
2020-01-09,4.640770314534506,14.217635228035721,0.8721203316015044
2020-01-10,5.650469907124837,18.758566053667156,0.5666288295282501
2020-01-11,6.848958667119343,23.78640751643655,0.6224911308447484
2020-01-12,1.5926955699920657,7.321683413998893,0.20277276367200456
2020-01-13,6.063164660135906,18.133195891127993,0.8288201392223145
2020-01-14,9.744503990809122,44.977154805668036,0.8039743400578189
2020-01-15,10.049013396898905,47.92047017781332,2.4858412855655923
2020-01-16,3.7140900452931724,13.909129982972887,0.40655945763756507
2020-01-17,3.7001023674011235,12.582128179493504,0.5334442050677417
2020-01-18,2.115364681879679,8.828996034588481,0.7499077158805358
2020-01-19,4.449998769760132,15.361836438028389,0.8932750959705853
2020-01-20,11.055072428385417,36.91289884564764,1.018705080749664
2020-01-21,8.82094719250997,36.00778600272707,1.6897017528951974
2020-01-22,5.853770314852397,23.4359113814016,0.855241295163192
2020-01-23,6.740913432439168,26.53832802025317,1.733811192568214
2020-01-24,2.9142926645278933,13.986472790571478,0.43108181170212284
2020-01-25,5.010265283584595,21.97933168769263,1.1768092269135864
2020-01-26,4.230320180257162,18.777196897871843,0.6033976246652317
2020-01-27,6.083931090037029,24.053313711263336,2.356210201079372
2020-01-28,3.799152081807455,14.235143213920148,0.6071762000624553
2020-01-29,10.262337425549825,41.35488565312957,3.0376923805278215
2020-01-30,6.3934841791788735,27.37504222526659,4.82982751968187
2020-01-31,7.921002531051635,61.93636464588068,1.6727150087570546
2020-02-01,11.136258382002515,114.69158699351894,0.6766848144620107
2020-02-02,4.631885041097799,38.264165805182344,0.3604930472690183
2020-02-03,4.082763169606527,16.720762590163428,0.5114642241912342
2020-02-04,3.2687891451517745,12.483597115371987,0.6437264255652957
2020-02-05,13.191323954264321,50.96387016441594,2.487169258404774
2020-02-06,9.01178278764089,42.525096891595076,1.1195340695863212
2020-02-07,5.930561278661092,20.20546989534363,0.31247057295748987
2020-02-08,5.4011794090271,30.553192583533683,0.6755696571641151
2020-02-09,14.084559384187061,113.27951682749469,0.8490001889250018
2020-02-10,14.626471731861434,116.83082928710915,0.8558497209983285
2020-02-11,17.64456553667784,96.06318058731799,1.0351754494970864
2020-02-12,9.947208323925734,72.20017601487214,1.1531880966777008
2020-02-13,11.947394194925826,67.87603353058836,1.1016923221201822
2020-02-14,7.4254419803619385,26.192946609215177,2.4855035917529507
2020-02-15,8.190244993368784,59.597132370682196,2.1999538874185878
2020-02-16,11.13055138349533,153.59758896925538,1.6640704740789127
2020-02-17,4.453544629613559,73.84973544945547,1.7467735105527933
2020-02-18,11.898159748713176,57.90985615150289,2.28920822486064
2020-02-19,7.435444921652476,35.368130416217554,0.4432566087574441
2020-02-20,12.453882834116618,63.53102620398445,0.7453881344143216
2020-02-21,4.347723440329234,39.05296297372594,0.19698582727889147
2020-02-22,12.831697789827983,179.61626900894896,1.100095545316395
2020-02-23,5.691717139482499,96.00414435365681,1.1218890550885348
2020-02-24,15.116593248049417,81.33096839095927,0.8271733651463429
2020-02-25,6.893415048917134,38.589967837569716,1.4594386130382075
2020-02-26,2.743038889567057,13.007868666106445,1.2812949270068001
2020-02-27,9.927992556889853,28.497528428796272,0.4706046125207017
2020-02-28,4.22734938621521,13.880220395662004,0.20992424015966285
2020-02-29,12.68339345296224,83.88790728559738,1.1539536861560096
2020-03-01,10.25256184319655,144.81669497218297,2.007845648606424
2020-03-02,10.807140181859333,38.121897187249374,1.321233581399949
2020-03-03,4.102403567632039,10.756863642075487,0.20092175096049003
2020-03-04,4.603091611862183,10.476320109704753,0.42616286187822544
2020-03-05,3.7860480372111005,10.508329267763244,0.6497794114206693
2020-03-06,4.546495854059855,18.76826403353912,0.7651349870095822
2020-03-07,3.885478115081787,14.730749608060338,0.20739141260110955
2020-03-08,10.858327175776163,63.034594464327384,1.2629633237308708
2020-03-09,13.33142030874888,47.4907146376351,2.1407338914088934
2020-03-10,22.68007396697998,98.01961480813789,0.9397171728601607
2020-03-11,10.906335066954293,96.00156908234547,0.34986104791341827
2020-03-12,14.306740487019221,121.03205229971226,0.48851390966816227
2020-03-13,8.939700432221093,69.64658544221942,0.5457831405288754
2020-03-14,12.623329118092855,60.601396568215016,2.3875789962505207
2020-03-15,11.70519173940023,120.8125893708422,1.5985239657767467
